"ts";"lat";"lon";"alt";"hdg";"spd";"LOD"
"2017-02-03 07:18:41.000000";"38.7417";"-9.16433";"32";"0";"0.1";"0"
"2017-02-03 07:18:43.000000";"38.7417";"-9.16435";"39";"0";"0.1";"0"
"2017-02-03 07:18:45.000000";"38.7416";"-9.16438";"39";"95";"3.3";"0"
"2017-02-03 07:18:47.000000";"38.7416";"-9.16438";"45";"95";"0";"0"
"2017-02-03 07:18:49.000000";"38.7416";"-9.16439";"46";"95";"0";"0"
"2017-02-03 07:18:51.000000";"38.7416";"-9.16439";"46";"95";"0";"0"
"2017-02-03 07:18:53.000000";"38.7416";"-9.16439";"46";"95";"0";"0"
"2017-02-03 07:18:55.000000";"38.7416";"-9.16439";"46";"95";"0";"0"
"2017-02-03 07:18:57.000000";"38.7416";"-9.16439";"46";"95";"0";"0"
"2017-02-03 07:18:59.000000";"38.7416";"-9.16439";"46";"95";"0";"0"
"2017-02-03 07:19:01.000000";"38.7416";"-9.16439";"46";"95";"0";"0"
"2017-02-03 07:19:03.000000";"38.7416";"-9.16439";"46";"95";"0";"0"
"2017-02-03 07:19:05.000000";"38.7416";"-9.16439";"46";"95";"0";"0"
"2017-02-03 07:19:07.000000";"38.7416";"-9.16439";"46";"95";"0";"0"
"2017-02-03 07:19:09.000000";"38.7416";"-9.16439";"46";"95";"0";"0"
"2017-02-03 07:19:11.000000";"38.7416";"-9.16439";"46";"95";"0";"0"
"2017-02-03 07:19:13.000000";"38.7416";"-9.16439";"46";"95";"0";"0"
"2017-02-03 07:19:15.000000";"38.7416";"-9.16439";"46";"95";"0";"0"
"2017-02-03 07:19:17.000000";"38.7416";"-9.16439";"46";"95";"0";"0"
"2017-02-03 07:19:19.000000";"38.7416";"-9.16439";"46";"95";"0";"0"
"2017-02-03 07:19:21.000000";"38.7416";"-9.16439";"46";"95";"0";"0"
"2017-02-03 07:19:22.000000";"38.7416";"-9.16439";"46";"95";"0";"0"
"2017-02-03 07:19:24.000000";"38.7416";"-9.16439";"46";"95";"0";"0"
"2017-02-03 07:19:26.000000";"38.7416";"-9.16439";"46";"95";"0";"0"
