"ts";"value"
"2017-02-03 07:47:39.000000";"105,82"
"2017-02-03 07:47:40.000000";"69,8487"
"2017-02-03 07:47:41.000000";"60,1202"
"2017-02-03 07:47:58.000000";"52,1286"
"2017-02-03 07:47:59.000000";"59,2885"
"2017-02-03 07:48:00.000000";"50,9771"
"2017-02-03 07:48:01.000000";"53,6193"
"2017-02-03 07:48:02.000000";"159,574"
"2017-02-03 07:48:39.000000";"153,061"
"2017-02-03 07:48:40.000000";"60,9137"
"2017-02-03 07:48:41.000000";"108,108"
"2017-02-03 07:48:42.000000";"98,0392"
"2017-02-03 07:48:44.000000";"120"
"2017-02-03 07:49:01.000000";"90,3614"
"2017-02-03 07:49:02.000000";"163,488"
"2017-02-03 07:49:03.000000";"82,6446"
"2017-02-03 07:49:04.000000";"61,8557"
"2017-02-03 07:49:05.000000";"148,515"
"2017-02-03 07:49:06.000000";"136,986"
"2017-02-03 07:49:21.000000";"95,5414"
"2017-02-03 07:49:22.000000";"79,1557"
"2017-02-03 07:49:23.000000";"50"
"2017-02-03 07:49:30.000000";"138,568"
"2017-02-03 07:49:31.000000";"69,9301"
"2017-02-03 07:49:51.000000";"47,7327"
"2017-02-03 07:49:52.000000";"49,9584"
"2017-02-03 07:49:53.000000";"82,9875"
"2017-02-03 07:49:54.000000";"120"
"2017-02-03 07:49:55.000000";"140,187"
"2017-02-03 07:49:56.000000";"40,4585"
"2017-02-03 07:49:57.000000";"74,4417"
"2017-02-03 07:49:59.000000";"74,0741"
"2017-02-03 07:50:00.000000";"77,5194"
"2017-02-03 07:50:08.000000";"68,7285"
"2017-02-03 07:50:09.000000";"65,8617"
"2017-02-03 07:50:10.000000";"46,4037"
"2017-02-03 07:50:13.000000";"46,0123"
"2017-02-03 07:50:14.000000";"125,523"
"2017-02-03 07:50:16.000000";"125"
"2017-02-03 07:50:17.000000";"120"
"2017-02-03 07:50:18.000000";"139,86"
"2017-02-03 07:50:19.000000";"158,73"
"2017-02-03 07:50:20.000000";"136,364"
"2017-02-03 07:50:21.000000";"170,455"
"2017-02-03 07:50:22.000000";"79,1557"
"2017-02-03 07:50:24.000000";"79,0514"
"2017-02-03 07:50:25.000000";"91,4634"
"2017-02-03 07:50:27.000000";"91,047"
"2017-02-03 07:50:28.000000";"79,1557"
"2017-02-03 07:50:37.000000";"174,927"
"2017-02-03 07:50:38.000000";"76,2389"
"2017-02-03 07:50:39.000000";"76,2389"
"2017-02-03 07:50:40.000000";"50,4202"
"2017-02-03 07:50:41.000000";"118,11"
"2017-02-03 07:50:42.000000";"152,672"
"2017-02-03 07:50:44.000000";"47,4684"
"2017-02-03 07:50:45.000000";"49,2207"
"2017-02-03 07:50:46.000000";"88,4956"
"2017-02-03 07:50:47.000000";"78,9474"
"2017-02-03 07:50:49.000000";"78,0234"
"2017-02-03 07:50:56.000000";"77,0218"
"2017-02-03 07:50:57.000000";"88,6263"
"2017-02-03 07:50:59.000000";"88,1057"
"2017-02-03 07:51:16.000000";"128,48"
"2017-02-03 07:51:17.000000";"100,503"
"2017-02-03 07:51:19.000000";"155,844"
"2017-02-03 07:51:31.000000";"77,7202"
"2017-02-03 07:51:32.000000";"72,904"
"2017-02-03 07:51:33.000000";"72,0288"
"2017-02-03 07:51:34.000000";"56,8182"
"2017-02-03 07:51:35.000000";"61,6016"
"2017-02-03 07:51:37.000000";"61,0376"
"2017-02-03 07:51:41.000000";"61,0376"
"2017-02-03 07:51:44.000000";"61,0376"
"2017-02-03 07:51:45.000000";"45,1128"
"2017-02-03 07:51:48.000000";"45,0113"
"2017-02-03 07:51:49.000000";"40,8441"
"2017-02-03 07:51:51.000000";"40"
"2017-02-03 07:51:52.000000";"80,3213"
"2017-02-03 07:51:53.000000";"80,9717"
"2017-02-03 07:51:54.000000";"40,2955"
"2017-02-03 07:51:55.000000";"79,6813"
"2017-02-03 07:51:57.000000";"79,0514"
"2017-02-03 07:51:58.000000";"105,634"
"2017-02-03 07:52:05.000000";"103,093"
"2017-02-03 07:52:08.000000";"172,414"
"2017-02-03 07:52:09.000000";"81,4111"
"2017-02-03 07:52:10.000000";"83,5655"
"2017-02-03 07:52:11.000000";"88,3652"
"2017-02-03 07:52:13.000000";"62,2407"
"2017-02-03 07:52:15.000000";"62,0476"
"2017-02-03 07:52:16.000000";"105,82"
"2017-02-03 07:52:22.000000";"109,489"
"2017-02-03 07:52:23.000000";"70,5882"
"2017-02-03 07:52:24.000000";"83,2178"
"2017-02-03 07:52:26.000000";"152,672"
"2017-02-03 07:52:27.000000";"79,1557"
"2017-02-03 07:52:28.000000";"79,3651"
"2017-02-03 07:52:29.000000";"56,2852"
"2017-02-03 07:52:47.000000";"78,125"
"2017-02-03 07:52:48.000000";"48,6224"
"2017-02-03 07:52:50.000000";"48"
"2017-02-03 07:52:51.000000";"81,4111"
"2017-02-03 07:52:52.000000";"81,0811"
"2017-02-03 07:52:55.000000";"79,1557"
