"ts";"lat";"lon";"value"
"2017-02-03 07:47:39.000000";"38.7421";"-9.16563";"105.82"
"2017-02-03 07:47:41.000000";"38.7421";"-9.16562";"60.1202"
"2017-02-03 07:47:43.000000";"38.7421";"-9.16556";"59.18"
"2017-02-03 07:47:45.000000";"38.7422";"-9.16547";"58.2398"
"2017-02-03 07:47:47.000000";"38.7422";"-9.16532";"57.2997"
"2017-02-03 07:47:49.000000";"38.7422";"-9.16518";"56.3595"
"2017-02-03 07:47:51.000000";"38.7422";"-9.16501";"55.4193"
"2017-02-03 07:47:53.000000";"38.7421";"-9.16486";"54.4791"
"2017-02-03 07:47:55.000000";"38.742";"-9.16472";"53.5389"
"2017-02-03 07:47:56.000000";"38.7419";"-9.16454";"53.0688"
"2017-02-03 07:47:58.000000";"38.7417";"-9.16434";"52.1286"
"2017-02-03 07:48:00.000000";"38.7416";"-9.16414";"50.9771"
"2017-02-03 07:48:02.000000";"38.7414";"-9.16396";"159.574"
"2017-02-03 07:48:04.000000";"38.7414";"-9.16386";"159.222"
"2017-02-03 07:48:06.000000";"38.7413";"-9.16368";"158.87"
"2017-02-03 07:48:08.000000";"38.7412";"-9.16349";"158.518"
"2017-02-03 07:48:10.000000";"38.7411";"-9.16329";"158.166"
"2017-02-03 07:48:12.000000";"38.741";"-9.16307";"157.814"
"2017-02-03 07:48:14.000000";"38.7409";"-9.16286";"157.462"
"2017-02-03 07:48:16.000000";"38.7408";"-9.1627";"157.11"
"2017-02-03 07:48:18.000000";"38.7408";"-9.16257";"156.758"
"2017-02-03 07:48:20.000000";"38.7408";"-9.16247";"156.406"
"2017-02-03 07:48:22.000000";"38.7408";"-9.16241";"156.054"
"2017-02-03 07:48:24.000000";"38.7408";"-9.16237";"155.702"
"2017-02-03 07:48:26.000000";"38.7408";"-9.16233";"155.35"
"2017-02-03 07:48:28.000000";"38.7409";"-9.16231";"154.998"
"2017-02-03 07:48:30.000000";"38.7409";"-9.16231";"154.646"
"2017-02-03 07:48:32.000000";"38.7409";"-9.16229";"154.293"
"2017-02-03 07:48:34.000000";"38.7409";"-9.1622";"153.941"
"2017-02-03 07:48:36.000000";"38.7409";"-9.16209";"153.589"
"2017-02-03 07:48:38.000000";"38.7408";"-9.16195";"153.237"
"2017-02-03 07:48:39.000000";"38.7408";"-9.16187";"153.061"
"2017-02-03 07:48:41.000000";"38.7408";"-9.16168";"108.108"
"2017-02-03 07:48:43.000000";"38.7409";"-9.16146";"109.02"
"2017-02-03 07:48:45.000000";"38.7409";"-9.1612";"118.257"
"2017-02-03 07:48:47.000000";"38.7409";"-9.16092";"114.77"
"2017-02-03 07:48:56.000000";"38.7409";"-9.15973";"99.0787"
"2017-02-03 07:48:57.000000";"38.7409";"-9.15952";"97.3352"
"2017-02-03 07:48:59.000000";"38.7409";"-9.15931";"93.8483"
"2017-02-03 07:49:01.000000";"38.7409";"-9.15913";"90.3614"
"2017-02-03 07:49:03.000000";"38.7407";"-9.15901";"82.6446"
"2017-02-03 07:49:05.000000";"38.7407";"-9.15896";"148.515"
"2017-02-03 07:49:07.000000";"38.7405";"-9.15885";"134.223"
"2017-02-03 07:49:09.000000";"38.7403";"-9.15875";"128.697"
"2017-02-03 07:49:11.000000";"38.7401";"-9.15863";"123.171"
"2017-02-03 07:49:13.000000";"38.7399";"-9.15849";"117.645"
"2017-02-03 07:49:15.000000";"38.7396";"-9.15835";"112.119"
"2017-02-03 07:49:17.000000";"38.7394";"-9.15823";"106.593"
"2017-02-03 07:49:19.000000";"38.7392";"-9.15814";"101.067"
"2017-02-03 07:49:21.000000";"38.739";"-9.15808";"95.5414"
"2017-02-03 07:49:23.000000";"38.7389";"-9.15805";"50"
"2017-02-03 07:49:25.000000";"38.7387";"-9.15811";"75.3052"
"2017-02-03 07:49:27.000000";"38.7387";"-9.15824";"100.61"
"2017-02-03 07:49:29.000000";"38.7386";"-9.15839";"125.916"
"2017-02-03 07:49:31.000000";"38.7385";"-9.1585";"69.9301"
"2017-02-03 07:49:33.000000";"38.7385";"-9.15856";"67.7103"
"2017-02-03 07:49:35.000000";"38.7384";"-9.15858";"65.4906"
"2017-02-03 07:49:37.000000";"38.7382";"-9.15858";"63.2709"
"2017-02-03 07:49:39.000000";"38.7381";"-9.15852";"61.0511"
"2017-02-03 07:49:40.000000";"38.738";"-9.15847";"59.9413"
"2017-02-03 07:49:42.000000";"38.7379";"-9.15836";"57.7215"
"2017-02-03 07:49:44.000000";"38.7377";"-9.15826";"55.5018"
"2017-02-03 07:49:46.000000";"38.7375";"-9.15822";"53.282"
"2017-02-03 07:49:48.000000";"38.7373";"-9.15828";"51.0623"
"2017-02-03 07:49:50.000000";"38.7371";"-9.15845";"48.8426"
"2017-02-03 07:49:52.000000";"38.7369";"-9.1587";"49.9584"
"2017-02-03 07:49:54.000000";"38.7367";"-9.159";"120"
"2017-02-03 07:49:56.000000";"38.7366";"-9.15937";"40.4585"
"2017-02-03 07:49:58.000000";"38.7365";"-9.15974";"74.2579"
"2017-02-03 07:50:00.000000";"38.7363";"-9.16012";"77.5194"
"2017-02-03 07:50:02.000000";"38.7362";"-9.16051";"75.3217"
"2017-02-03 07:50:04.000000";"38.7361";"-9.16091";"73.124"
"2017-02-03 07:50:06.000000";"38.7359";"-9.16132";"70.9262"
"2017-02-03 07:50:13.000000";"38.7353";"-9.16258";"46.0123"
"2017-02-03 07:50:15.000000";"38.735";"-9.16289";"125.262"
"2017-02-03 07:50:17.000000";"38.7348";"-9.16319";"120"
"2017-02-03 07:50:19.000000";"38.7345";"-9.16346";"158.73"
"2017-02-03 07:50:21.000000";"38.7342";"-9.16369";"170.455"
"2017-02-03 07:50:22.000000";"38.7339";"-9.16387";"79.1557"
"2017-02-03 07:50:24.000000";"38.7336";"-9.16405";"79.0514"
"2017-02-03 07:50:26.000000";"38.7332";"-9.16422";"91.2552"
"2017-02-03 07:50:28.000000";"38.7331";"-9.16431";"79.1557"
"2017-02-03 07:50:30.000000";"38.7327";"-9.16448";"100.438"
"2017-02-03 07:50:32.000000";"38.7324";"-9.16465";"121.721"
"2017-02-03 07:50:34.000000";"38.7321";"-9.16481";"143.003"
"2017-02-03 07:50:36.000000";"38.7318";"-9.16498";"164.286"
"2017-02-03 07:50:38.000000";"38.7315";"-9.16514";"76.2389"
"2017-02-03 07:50:40.000000";"38.7312";"-9.1653";"50.4202"
