"ts";"value"
"2017-02-03 07:47:39.000000";"567"
"2017-02-03 07:47:40.000000";"859"
"2017-02-03 07:47:41.000000";"998"
"2017-02-03 07:47:58.000000";"1151"
"2017-02-03 07:47:59.000000";"1012"
"2017-02-03 07:48:00.000000";"1177"
"2017-02-03 07:48:01.000000";"1119"
"2017-02-03 07:48:02.000000";"652"
"2017-02-03 07:48:02.000000";"376"
"2017-02-03 07:48:39.000000";"392"
"2017-02-03 07:48:40.000000";"985"
"2017-02-03 07:48:41.000000";"351"
"2017-02-03 07:48:41.000000";"555"
"2017-02-03 07:48:42.000000";"703"
"2017-02-03 07:48:42.000000";"612"
"2017-02-03 07:48:44.000000";"1214"
"2017-02-03 07:48:44.000000";"500"
"2017-02-03 07:49:01.000000";"664"
"2017-02-03 07:49:02.000000";"556"
"2017-02-03 07:49:02.000000";"367"
"2017-02-03 07:49:03.000000";"726"
"2017-02-03 07:49:04.000000";"970"
"2017-02-03 07:49:04.000000";"517"
"2017-02-03 07:49:05.000000";"762"
"2017-02-03 07:49:05.000000";"404"
"2017-02-03 07:49:06.000000";"438"
"2017-02-03 07:49:21.000000";"354"
"2017-02-03 07:49:21.000000";"628"
"2017-02-03 07:49:22.000000";"758"
"2017-02-03 07:49:23.000000";"1200"
"2017-02-03 07:49:30.000000";"433"
"2017-02-03 07:49:31.000000";"858"
"2017-02-03 07:49:31.000000";"782"
"2017-02-03 07:49:51.000000";"1257"
"2017-02-03 07:49:52.000000";"1201"
"2017-02-03 07:49:53.000000";"723"
"2017-02-03 07:49:54.000000";"781"
"2017-02-03 07:49:54.000000";"500"
"2017-02-03 07:49:55.000000";"428"
"2017-02-03 07:49:56.000000";"1483"
"2017-02-03 07:49:57.000000";"806"
"2017-02-03 07:49:59.000000";"810"
"2017-02-03 07:50:00.000000";"774"
"2017-02-03 07:50:08.000000";"873"
"2017-02-03 07:50:09.000000";"911"
"2017-02-03 07:50:10.000000";"1293"
"2017-02-03 07:50:13.000000";"1304"
"2017-02-03 07:50:14.000000";"478"
"2017-02-03 07:50:16.000000";"480"
"2017-02-03 07:50:17.000000";"523"
"2017-02-03 07:50:17.000000";"500"
"2017-02-03 07:50:18.000000";"429"
"2017-02-03 07:50:19.000000";"1134"
"2017-02-03 07:50:19.000000";"378"
"2017-02-03 07:50:20.000000";"440"
"2017-02-03 07:50:21.000000";"1162"
"2017-02-03 07:50:21.000000";"352"
"2017-02-03 07:50:22.000000";"758"
"2017-02-03 07:50:24.000000";"759"
"2017-02-03 07:50:25.000000";"656"
"2017-02-03 07:50:27.000000";"659"
"2017-02-03 07:50:28.000000";"758"
"2017-02-03 07:50:37.000000";"343"
"2017-02-03 07:50:38.000000";"787"
"2017-02-03 07:50:39.000000";"787"
"2017-02-03 07:50:40.000000";"1190"
"2017-02-03 07:50:41.000000";"590"
"2017-02-03 07:50:41.000000";"508"
"2017-02-03 07:50:42.000000";"451"
"2017-02-03 07:50:42.000000";"393"
"2017-02-03 07:50:42.000000";"453"
"2017-02-03 07:50:44.000000";"1264"
"2017-02-03 07:50:45.000000";"1219"
"2017-02-03 07:50:46.000000";"816"
"2017-02-03 07:50:46.000000";"678"
"2017-02-03 07:50:47.000000";"760"
"2017-02-03 07:50:49.000000";"769"
"2017-02-03 07:50:56.000000";"861"
"2017-02-03 07:50:56.000000";"779"
"2017-02-03 07:50:57.000000";"677"
"2017-02-03 07:50:59.000000";"681"
"2017-02-03 07:51:16.000000";"467"
"2017-02-03 07:51:17.000000";"529"
"2017-02-03 07:51:17.000000";"597"
"2017-02-03 07:51:19.000000";"600"
"2017-02-03 07:51:19.000000";"385"
"2017-02-03 07:51:31.000000";"772"
"2017-02-03 07:51:32.000000";"823"
"2017-02-03 07:51:33.000000";"833"
"2017-02-03 07:51:34.000000";"1056"
"2017-02-03 07:51:35.000000";"974"
"2017-02-03 07:51:37.000000";"983"
"2017-02-03 07:51:41.000000";"983"
"2017-02-03 07:51:44.000000";"983"
"2017-02-03 07:51:45.000000";"1330"
"2017-02-03 07:51:48.000000";"1333"
"2017-02-03 07:51:49.000000";"1469"
"2017-02-03 07:51:51.000000";"1500"
"2017-02-03 07:51:52.000000";"747"
"2017-02-03 07:51:53.000000";"741"
"2017-02-03 07:51:54.000000";"1489"
"2017-02-03 07:51:55.000000";"753"
"2017-02-03 07:51:57.000000";"759"
"2017-02-03 07:51:58.000000";"568"
"2017-02-03 07:52:05.000000";"582"
"2017-02-03 07:52:08.000000";"582"
"2017-02-03 07:52:08.000000";"348"
"2017-02-03 07:52:09.000000";"441"
"2017-02-03 07:52:09.000000";"737"
"2017-02-03 07:52:10.000000";"718"
"2017-02-03 07:52:11.000000";"679"
"2017-02-03 07:52:13.000000";"681"
"2017-02-03 07:52:13.000000";"964"
"2017-02-03 07:52:15.000000";"967"
"2017-02-03 07:52:16.000000";"567"
"2017-02-03 07:52:22.000000";"1031"
"2017-02-03 07:52:22.000000";"548"
"2017-02-03 07:52:23.000000";"850"
"2017-02-03 07:52:24.000000";"721"
"2017-02-03 07:52:26.000000";"722"
"2017-02-03 07:52:26.000000";"393"
"2017-02-03 07:52:27.000000";"758"
"2017-02-03 07:52:28.000000";"756"
"2017-02-03 07:52:29.000000";"1066"
"2017-02-03 07:52:47.000000";"768"
"2017-02-03 07:52:48.000000";"1234"
"2017-02-03 07:52:50.000000";"1250"
"2017-02-03 07:52:51.000000";"737"
"2017-02-03 07:52:52.000000";"740"
"2017-02-03 07:52:55.000000";"740"
"2017-02-03 07:52:55.000000";"758"
"2017-02-03 07:52:58.000000";"759"
"2017-02-03 07:52:58.000000";"349"
"2017-02-03 07:53:04.000000";"514"
"2017-02-03 07:53:16.000000";"789"
"2017-02-03 07:53:17.000000";"790"
"2017-02-03 07:53:17.000000";"592"
"2017-02-03 07:53:18.000000";"637"
"2017-02-03 07:53:18.000000";"346"
"2017-02-03 07:53:19.000000";"752"
"2017-02-03 07:53:20.000000";"707"
"2017-02-03 07:53:22.000000";"714"
"2017-02-03 07:53:31.000000";"702"
"2017-02-03 07:53:32.000000";"848"
"2017-02-03 07:53:33.000000";"469"
"2017-02-03 07:53:34.000000";"1214"
"2017-02-03 07:53:35.000000";"1050"
"2017-02-03 07:53:36.000000";"1476"
"2017-02-03 07:53:39.000000";"1500"
"2017-02-03 07:53:39.000000";"722"
"2017-02-03 07:53:40.000000";"695"
"2017-02-03 07:53:43.000000";"697"
"2017-02-03 07:53:44.000000";"831"
"2017-02-03 07:53:44.000000";"679"
"2017-02-03 07:53:45.000000";"856"
"2017-02-03 07:53:46.000000";"888"
"2017-02-03 07:53:46.000000";"448"
"2017-02-03 07:53:48.000000";"451"
"2017-02-03 07:53:49.000000";"664"
"2017-02-03 07:53:50.000000";"1407"
"2017-02-03 07:53:52.000000";"1490"
"2017-02-03 07:53:57.000000";"871"
"2017-02-03 07:53:58.000000";"422"
"2017-02-03 07:53:58.000000";"377"
"2017-02-03 07:53:58.000000";"380"
"2017-02-03 07:54:00.000000";"1247"
"2017-02-03 07:54:00.000000";"757"
"2017-02-03 07:54:01.000000";"767"
"2017-02-03 07:54:03.000000";"769"
"2017-02-03 07:54:04.000000";"820"
"2017-02-03 07:54:04.000000";"828"
"2017-02-03 07:54:05.000000";"366"
"2017-02-03 07:54:13.000000";"813"
"2017-02-03 07:54:15.000000";"821"
"2017-02-03 07:54:20.000000";"821"
"2017-02-03 07:54:22.000000";"821"
"2017-02-03 07:54:23.000000";"821"
"2017-02-03 07:54:26.000000";"821"
"2017-02-03 07:54:27.000000";"1099"
"2017-02-03 07:54:27.000000";"345"
"2017-02-03 07:54:29.000000";"346"
"2017-02-03 07:54:32.000000";"346"
"2017-02-03 07:54:33.000000";"760"
"2017-02-03 07:54:35.000000";"769"
"2017-02-03 07:54:38.000000";"769"
"2017-02-03 07:54:40.000000";"769"
"2017-02-03 07:54:42.000000";"769"
"2017-02-03 07:54:43.000000";"769"
"2017-02-03 07:54:45.000000";"769"
"2017-02-03 07:54:46.000000";"792"
"2017-02-03 07:54:48.000000";"800"
"2017-02-03 07:54:49.000000";"777"
"2017-02-03 07:54:50.000000";"779"
"2017-02-03 07:54:51.000000";"789"
"2017-02-03 07:54:53.000000";"789"
"2017-02-03 07:54:54.000000";"789"
"2017-02-03 07:54:55.000000";"789"
"2017-02-03 07:54:56.000000";"796"
"2017-02-03 07:54:56.000000";"763"
"2017-02-03 07:54:57.000000";"770"
"2017-02-03 07:54:59.000000";"779"
"2017-02-03 07:54:59.000000";"739"
