"ts";"duration"
"2017-02-03 07:24:07.000000";"1504"
"2017-02-03 07:29:24.000000";"1820"
"2017-02-03 07:29:29.000000";"1127"
"2017-02-03 07:47:18.000000";"6265"
"2017-02-03 07:47:36.000000";"5857"
"2017-02-03 07:47:54.000000";"9424"
"2017-02-03 07:48:07.000000";"1419"
"2017-02-03 07:48:22.000000";"1106"
"2017-02-03 07:48:36.000000";"9411"
"2017-02-03 07:48:51.000000";"2253"
"2017-02-03 07:48:57.000000";"9540"
"2017-02-03 07:49:12.000000";"1338"
"2017-02-03 07:49:17.000000";"8008"
"2017-02-03 07:49:26.000000";"6388"
"2017-02-03 07:49:40.000000";"1204"
"2017-02-03 07:49:41.000000";"5408"
"2017-02-03 07:49:47.000000";"14128"
"2017-02-03 07:50:01.000000";"1722"
"2017-02-03 07:50:03.000000";"25210"
"2017-02-03 07:50:32.000000";"1895"
"2017-02-03 07:50:34.000000";"15499"
"2017-02-03 07:50:50.000000";"1173"
"2017-02-03 07:50:52.000000";"8172"
"2017-02-03 07:51:01.000000";"1085"
"2017-02-03 07:51:02.000000";"1878"
"2017-02-03 07:51:08.000000";"3159"
"2017-02-03 07:51:12.000000";"7402"
"2017-02-03 07:51:22.000000";"37588"
"2017-02-03 07:52:02.000000";"15257"
"2017-02-03 07:52:17.000000";"13300"
"2017-02-03 07:52:31.000000";"2236"
"2017-02-03 07:52:34.000000";"3462"
"2017-02-03 07:52:37.000000";"2931"
"2017-02-03 07:52:40.000000";"1327"
"2017-02-03 07:52:43.000000";"15985"
"2017-02-03 07:53:00.000000";"4963"
"2017-02-03 07:53:05.000000";"21230"
"2017-02-03 07:53:26.000000";"26580"
"2017-02-03 07:53:53.000000";"12428"
"2017-02-03 07:54:06.000000";"118812"
"2017-02-03 07:56:05.000000";"39755"
"2017-02-03 07:56:48.000000";"49817"
"2017-02-03 07:57:49.000000";"5245"
"2017-02-03 07:57:54.000000";"2039"
"2017-02-03 07:57:59.000000";"3942"
"2017-02-03 07:58:03.000000";"1112"
"2017-02-03 07:58:05.000000";"1232"
"2017-02-03 07:58:11.000000";"9547"
"2017-02-03 07:58:20.000000";"32392"
"2017-02-03 07:58:53.000000";"16997"
"2017-02-03 07:59:12.000000";"32331"
"2017-02-03 07:59:46.000000";"1342"
"2017-02-03 07:59:53.000000";"3109"
"2017-02-03 08:03:40.000000";"11911"
"2017-02-03 08:03:53.000000";"1661"
"2017-02-03 08:06:18.000000";"35689"
"2017-02-03 08:06:54.000000";"6467"
"2017-02-03 08:07:51.000000";"28630"
"2017-02-03 08:08:19.000000";"8830"
"2017-02-03 08:08:28.000000";"18207"
"2017-02-03 08:08:47.000000";"16692"
"2017-02-03 08:09:03.000000";"18112"
"2017-02-03 08:09:23.000000";"8938"
"2017-02-03 08:10:05.000000";"2349"
"2017-02-03 08:10:09.000000";"2417"
"2017-02-03 08:10:14.000000";"2911"
"2017-02-03 08:10:18.000000";"2227"
"2017-02-03 08:10:21.000000";"3018"
"2017-02-03 08:10:27.000000";"1905"
"2017-02-03 08:10:38.000000";"27650"
"2017-02-03 08:11:29.000000";"18016"
"2017-02-03 08:11:47.000000";"3672"
"2017-02-03 08:11:50.000000";"21672"
"2017-02-03 08:12:12.000000";"16372"
"2017-02-03 08:12:12.000000";"16372"
"2017-02-03 08:12:29.000000";"2984"
"2017-02-03 08:12:33.000000";"76733"
"2017-02-03 08:13:50.000000";"112713"
"2017-02-03 08:15:43.000000";"10890"
"2017-02-03 08:15:54.000000";"6788"
"2017-02-03 08:16:01.000000";"16884"
"2017-02-03 08:16:49.000000";"7740"
"2017-02-03 08:16:56.000000";"1347"
"2017-02-03 08:29:59.000000";"1035"
"2017-02-03 08:32:24.000000";"1031"
"2017-02-03 08:32:26.000000";"9563"
"2017-02-03 08:32:40.000000";"3553"
"2017-02-03 08:32:44.000000";"3238"
"2017-02-03 08:32:51.000000";"4008"
"2017-02-03 08:32:55.000000";"16104"
"2017-02-03 08:35:35.000000";"1954"
"2017-02-03 08:40:01.000000";"2785"
"2017-02-03 08:45:17.000000";"14988"
"2017-02-03 08:45:32.000000";"1597"
"2017-02-03 08:45:36.000000";"1119"
"2017-02-03 08:45:37.000000";"10855"
"2017-02-03 08:45:49.000000";"1106"
"2017-02-03 08:45:50.000000";"5318"
"2017-02-03 08:45:56.000000";"1089"
"2017-02-03 08:49:16.000000";"2367"
"2017-02-03 08:49:19.000000";"33730"
"2017-02-03 08:49:54.000000";"58628"
"2017-02-03 08:51:01.000000";"1845"
"2017-02-03 08:51:03.000000";"29810"
"2017-02-03 08:51:33.000000";"7860"
"2017-02-03 08:51:41.000000";"4724"
"2017-02-03 08:52:39.000000";"1798"
"2017-02-03 08:52:39.000000";"1798"
"2017-02-03 08:52:41.000000";"2385"
"2017-02-03 08:55:04.000000";"17027"
"2017-02-03 08:55:21.000000";"22041"
"2017-02-03 08:55:43.000000";"10940"
"2017-02-03 08:56:14.000000";"11018"
"2017-02-03 08:56:25.000000";"33225"
"2017-02-03 08:56:59.000000";"2523"
"2017-02-03 08:57:04.000000";"24199"
"2017-02-03 08:57:29.000000";"1116"
"2017-02-03 08:58:00.000000";"17537"
"2017-02-03 08:58:34.000000";"95050"
"2017-02-03 09:00:15.000000";"4839"
"2017-02-03 09:00:20.000000";"15594"
"2017-02-03 09:00:37.000000";"5841"
"2017-02-03 09:01:11.000000";"1684"
"2017-02-03 09:02:09.000000";"3856"
"2017-02-03 09:02:57.000000";"1807"
"2017-02-03 09:02:59.000000";"7208"
"2017-02-03 09:04:05.000000";"31250"
"2017-02-03 09:04:38.000000";"3412"
"2017-02-03 09:04:42.000000";"1917"
"2017-02-03 09:04:44.000000";"52705"
"2017-02-03 09:05:38.000000";"2913"
"2017-02-03 09:05:41.000000";"8839"
"2017-02-03 09:08:09.000000";"18571"
"2017-02-03 09:08:29.000000";"2442"
"2017-02-03 09:08:35.000000";"42574"
"2017-02-03 09:09:19.000000";"1880"
"2017-02-03 09:09:24.000000";"8875"
"2017-02-03 09:09:34.000000";"12998"
"2017-02-03 09:10:19.000000";"1099"
"2017-02-03 09:10:21.000000";"2254"
"2017-02-03 09:10:23.000000";"1749"
"2017-02-03 09:12:32.000000";"1564"
"2017-02-03 09:12:35.000000";"2269"
"2017-02-03 09:12:57.000000";"8910"
"2017-02-03 09:15:24.000000";"53398"
"2017-02-03 09:16:18.000000";"25427"
"2017-02-03 09:16:48.000000";"20018"
"2017-02-03 09:17:08.000000";"2035"
"2017-02-03 09:17:10.000000";"2751"
"2017-02-03 09:17:18.000000";"3036"
"2017-02-03 09:17:37.000000";"1852"
"2017-02-03 09:17:40.000000";"9439"
"2017-02-03 09:17:50.000000";"11893"
"2017-02-03 09:18:55.000000";"3006"
"2017-02-03 09:19:10.000000";"31616"
"2017-02-03 09:21:59.000000";"3850"
"2017-02-03 09:22:07.000000";"27116"
"2017-02-03 09:22:34.000000";"12447"
"2017-02-03 09:22:46.000000";"13560"
"2017-02-03 09:26:49.000000";"19563"
"2017-02-03 09:27:13.000000";"5489"
"2017-02-03 09:27:19.000000";"10799"
"2017-02-03 09:27:31.000000";"1575"
"2017-02-03 09:27:35.000000";"2060"
"2017-02-03 09:28:03.000000";"4144"
"2017-02-03 09:28:08.000000";"5976"
"2017-02-03 09:28:41.000000";"24049"
"2017-02-03 09:29:14.000000";"6650"
"2017-02-03 09:29:21.000000";"1139"
"2017-02-03 09:29:23.000000";"10862"
"2017-02-03 09:29:34.000000";"7027"
"2017-02-03 09:30:10.000000";"38590"
"2017-02-03 09:30:48.000000";"3807"
"2017-02-03 09:30:55.000000";"1383"
"2017-02-03 09:30:59.000000";"6718"
"2017-02-03 09:31:10.000000";"1380"
"2017-02-03 09:31:15.000000";"6323"
"2017-02-03 09:31:45.000000";"5926"
"2017-02-03 09:31:51.000000";"46918"
"2017-02-03 09:32:38.000000";"5887"
"2017-02-03 09:32:45.000000";"2182"
"2017-02-03 09:32:47.000000";"5935"
"2017-02-03 09:32:53.000000";"4952"
"2017-02-03 09:33:23.000000";"19465"
"2017-02-03 09:33:43.000000";"116109"
"2017-02-03 09:35:39.000000";"15724"
"2017-02-03 09:35:55.000000";"6441"
"2017-02-03 09:36:02.000000";"2141"
"2017-02-03 09:36:04.000000";"14078"
"2017-02-03 09:36:18.000000";"11364"
"2017-02-03 09:36:30.000000";"21481"
"2017-02-03 09:36:54.000000";"1639"
"2017-02-03 09:36:56.000000";"4343"
"2017-02-03 09:37:01.000000";"15897"
"2017-02-03 09:37:43.000000";"2197"
"2017-02-03 09:37:45.000000";"12952"
"2017-02-03 09:37:59.000000";"2136"
"2017-02-03 09:38:03.000000";"3320"
"2017-02-03 09:38:07.000000";"1444"
"2017-02-03 09:38:58.000000";"5407"
"2017-02-03 09:39:03.000000";"10370"
"2017-02-03 09:39:15.000000";"22617"
"2017-02-03 09:39:38.000000";"11362"
"2017-02-03 09:39:52.000000";"22357"
"2017-02-03 09:40:16.000000";"1883"
"2017-02-03 09:40:20.000000";"22760"
"2017-02-03 09:40:42.000000";"3148"
"2017-02-03 09:40:48.000000";"1745"
"2017-02-03 09:40:55.000000";"1277"
"2017-02-03 09:41:00.000000";"5282"
"2017-02-03 09:41:14.000000";"3360"
"2017-02-03 09:41:18.000000";"9551"
"2017-02-03 09:41:28.000000";"5476"
